Id,Name,Total_Docks,Latitude,Longitude
2,Eliza Furnace Trail & Swineburne St,15,40.4258,-79.9534
3,Centre Ave & Addison St,15,40.4446,-79.9783
4,Burns White Center at 3 Crossings,15,40.4564,-79.98
5,Allegheny Station,19,40.4481537,-80.0182092
6,10th St & Penn Ave,15,40.4446526,-79.9960739
7,Liberty Ave & Gross St,15,40.4595877,-79.9452035
8,Glasshouse,15,40.4329,-80.003
9,South Side Trail & S 4th St,15,40.431336,-79.995106
10,Zulema St & Coltart Ave,15,40.436055,-79.956827
11,Ellsworth Ave & N Neville St,15,40.448203,-79.947507
12,O'Hara St and University Place,23,40.445117,-79.957118
13,S Bouquet Ave & Sennott St,19,40.441638,-79.955764
14,N Homewood Ave & Finance St,7,40.453161,-79.898451
15,Ivy St & Walnut St,15,40.451781,-79.932253
16,Penn Ave & Putnam St (Bakery Square),19,40.4559,-79.9153
17,Taylor St & Liberty Ave,15,40.462778,-79.950868
18,21st St & Penn Ave,19,40.4518,-79.9833
19,42nd St & Butler St,15,40.470221,-79.96038
20,Boulevard of the Allies & Parkview Ave,15,40.4344,-79.9519
21,Liberty Ave & Stanwix St,15,40.4412,-80.0048
22,Forbes Ave & Market Square,19,40.4407732,-80.0033121
23,North Shore Trail & Fort Duquesne Bridge,23,40.4458,-80.0091
24,Penn Ave & 33rd St,11,40.462,-79.9683
25,Penn Ave & S Whitfield St,15,40.4616,-79.9257
26,S 27th St & Sidney St. (Southside Works),23,40.4279908,-79.9662964
27,W Station Square Dr & Bessemer Court,15,40.4338,-80.0047
28,Fifth Ave & S Bouquet St,15,40.4422,-79.9576
29,Forbes Ave & Schenley Dr,19,40.4433,-79.9528
30,Shady Ave & Ellsworth Ave,11,40.4591811,-79.9219961
31,First Ave & B St,15,40.435922,-79.997551
32,Ross Ave & Fourth St,14,40.437716,-79.996451
33,Schenley Dr & Schenley Dr Ext,19,40.4423713,-79.9516881
34,N Dithridge St & Centre Ave,19,40.451281,-79.952982
35,Butler St & 36th St,15,40.4652642,-79.965652
36,Penn Ave & S Pacific Ave,15,40.4646,-79.9399
37,S Negley Ave & Centre Ave,15,40.4573163,-79.9343309
38,Allequippa St & Darragh St,19,40.4434554,-79.9658838
